"url","headline","summary","date","tag"
"https://www.bbc.com/sport/cricket/articles/c4g975k4p3zo","ICC urged to consider future status of T10 format","The International Cricket Council is being lobbied to make T10 an officially recognised format in the future.","12 Apr 2025","Cricket"
"https://www.bbc.com/news/articles/c74zdm4kewlo","Firms say Meta not helping them to recover hacked accounts","Businesses around the world say they are unable to get back into their Facebook and Instagram pages.","16 Apr 2025",NA
"https://www.bbc.com/news/articles/c5yrgpwg545o","Could South America benefit from Trump's trade tariffs?","Countries in the continent may see exports rise as both the US and China need new suppliers.","25 Apr 2025","World"
"https://www.bbc.com/news/articles/c934qzd094wo","Asian stocks see their worst drop in decades after Trump tariffs","Asian markets from Tokyo to Sydney plunged amid increasing fears of a global economic downturn.","7 Apr 2025","Business"
"https://www.bbc.com/news/articles/c93g2e332d9o","Deported gang members get second chance at call centre","In the Mexican city of Tijuana a number of firms are employing people who were removed from the US.","30 Apr 2025","Business"
"https://www.bbc.com/news/articles/cdrgk2338dvo","China's Xi urges Vietnam to oppose 'bullying' as Trump mulls more tariffs","Trump called Xi's meeting with Vietnamese leaders a ploy to figure out how to 'screw' the US.","15 Apr 2025","Business"
"https://www.bbc.com/sport/cricket/articles/cq5wwx33yj8o","Australia all-rounder Perry signs for Hampshire","Australia international Ellyse Perry signs as an overseas player for Hampshire in the inaugural Women's T20 Blast.","10 Apr 2025","Cricket"
"https://www.bbc.com/news/articles/cly517p1zgqo","US lays out plans to hit Chinese ships with port fees","The charges will start in 180 days and rise in the coming years.","18 Apr 2025","Business"
"https://www.bbc.com/sport/rugby-union/articles/c7vnzdmr148o","Newport RFC legend Jones dies aged 89","Former Wales international and Newport RFC legend Brian Jones has died aged 89.","7 Apr 2025","Welsh Rugby"
"https://www.bbc.comNA","Watch: Edinburgh International Swim Meet","Watch live coverage as a host of Team GB Olympians take part in the Edinburgh International Swim meet.",NA,NA
"https://www.bbc.com/news/articles/c1eg6pylq87o","Palestinian teen attacker freed after nine years in Israeli prison","Amnesty International says Ahmed Manasra endured ""shocking ill-treatment"" after he was imprisoned at the age of 13 in 2015.","10 Apr 2025","Middle East"
"https://www.bbc.com/news/articles/cwy00jezyevo","Students and elderly pair up to combat loneliness","A University of Exeter project tries to combat loneliness and share skills between generations.","10 Apr 2025","Devon"
"https://www.bbc.comNA","Watch: Edinburgh International Swim Meet","Watch live coverage as a host of Team GB Olympians take part in the Edinburgh International Swim meet.",NA,NA
"https://www.bbc.com/news/articles/c0elwpdgq98o","States asked to pay £50,000 for election observers","The team will monitor the general election to ensure it complies with international obligations.","6 Apr 2025","Guernsey"
"https://www.bbc.com/sport/cricket/articles/cz01119mz1go","Bears Women sign batter Kalis on loan","Warwickshire sign Dutch international batter Sterre Kalis on loan for this summer's inaugural women's One-Day Cup and T20 Blast competitions.","9 Apr 2025","Women's Cricket"
"https://www.bbc.com/news/articles/cn52plp2317o","Lammy says Israel international law remarks 'could have been clearer'","The foreign secretary had twice told MPs Israel's aid blockade into Gaza was a ""breach"" of international law.","18 Mar 2025","Politics"
"https://www.bbc.com/audio/play/m00291ql","Glasgow International Comedy Festival Special: Robin Ince, Marjolein Robertson, Gareth Waugh and Ria Lina","Des Clarke hosts Scotland's award-winning satirical news quiz.","21 Mar 2025","Comedy"
"https://www.bbc.com/sport/cricket/articles/cvg9dl0vnp7o","Cricket at LA 2028 will be six-team T20 tournament","Cricket's return to the Olympic Games in Los Angeles 2028 will be as a six-team T20 tournament for both genders, the International Olympic Committee announces.","10 Apr 2025","Olympic Games"
"https://www.bbc.com/news/videos/cj9e22dezeno","BBC Verify analyses video showing Israel's killing of Gaza medics","The IDF's killing of 15 emergency workers has drawn international condemnation.  BBC Verify examines new footage of the incident.","7 Apr 2025","BBC Verify"
